,index,no_t_alpha,t1_alpha,t2_alpha,t3_alpha,t4_alpha,t5_alpha,no_t_ds,t1_ds,t2_ds,t3_ds,t4_ds,t5_ds
6215,6215,1.80083167552948,1.8105021715164185,1.7301764488220215,1.0852017402648926,1.8008310794830322,1.800832748413086,1.0245715576156171,1.1187475359968688,1.0666631924732066,1.080099098055279,1.1143631489500474,1.1122872929333671
6216,6216,1.5790951251983643,1.6325262784957886,1.8096147775650024,0.9660146236419678,1.579103708267212,1.5791020393371582,1.0586035535386396,1.0678529748839052,1.044885124168148,1.0299496617592088,1.056875473453402,1.0544292227584309
6217,6217,1.5086122751235962,1.617406964302063,1.6919959783554077,0.8267384767532349,1.5086129903793335,1.5086119174957275,1.0523694819518745,1.0805677103456517,1.0438113934457809,1.051106787339356,1.078979406184987,1.064407441957735
6218,6218,1.8495445251464844,1.8469228744506836,1.7112778425216675,1.0611178874969482,1.8495451211929321,1.8495466709136963,1.0122380260117239,1.081583810722966,1.0512614252451422,1.0428839428244088,1.0749539270625708,1.0532420662788393
6219,6219,1.554918646812439,1.6226096153259277,1.83704674243927,0.9491894841194153,1.5549170970916748,1.5549172163009644,1.0365683742219582,1.0503997768635636,1.03147286115674,1.020629962430799,1.0507748418491345,1.0328500095972428
6220,6220,1.7000092267990112,1.7365155220031738,1.8654841184616089,0.9623229503631592,1.6999852657318115,1.6999843120574951,1.0304374340415292,1.046498285373826,1.0280271399886036,1.0261282509054046,1.04828116988544,1.0512853917857186
6221,6221,1.5405179262161255,1.497787356376648,1.6448894739151,0.98252272605896,1.540518879890442,1.5405193567276,1.0501621050967611,1.0649777945066254,1.0436528371658311,1.0064228284404364,1.0399033034653982,1.0388944247865863
6222,6222,1.709640383720398,1.6770564317703247,1.821424126625061,1.0441737174987793,1.7096370458602905,1.709637999534607,1.10013623763685,1.032829587522442,1.0230012042860215,0.9900460549407859,1.0368744301527986,1.024406466591662
6223,6223,1.6966304779052734,1.4770927429199219,1.7918003797531128,1.0016483068466187,1.696631669998169,1.6966313123703003,1.0547872575420099,1.0592239790478526,1.0456146853329396,1.040276215442274,1.0476097798010116,1.0603089544652133
6224,6224,1.5358327627182007,1.6232688426971436,1.7781718969345093,0.9547566175460815,1.5358339548110962,1.535834789276123,1.0376443173970826,1.0639810633912283,1.0387094988550978,1.0180647598679076,1.051344924398021,1.0548347084149492
6225,6225,1.9377590417861938,1.95319664478302,1.8150843381881714,1.17910897731781,1.9377628564834595,1.9377633333206177,1.0235301485371333,1.1222789642986541,1.0903501217108815,1.0719952491994766,1.1008337971748905,1.1008945747955325
6226,6226,1.8818585872650146,1.9127639532089233,1.7436357736587524,1.091544508934021,1.8818633556365967,1.8818622827529907,1.029354641313284,1.1036744200298891,1.08555044432239,1.0754809482801,1.088799389641004,1.0909484183678932
6227,6227,1.6869616508483887,1.6592700481414795,1.8012723922729492,1.0643866062164307,1.686962366104126,1.686962604522705,1.077522443741579,1.045008873918951,1.0408527283296243,1.0094708856302461,1.0465086687487766,1.047550326949329
6228,6228,1.7442779541015625,1.757828950881958,1.598847508430481,0.9596244692802429,1.7442796230316162,1.7442783117294312,1.040919467383092,1.0632548890495341,1.0524709662446134,1.0493371959507527,1.0846396438011192,1.0669880534074034
6229,6229,1.7374495267868042,1.7675234079360962,1.5033435821533203,1.0598117113113403,1.737450361251831,1.7374497652053833,1.046959195662871,1.0694611778724092,1.0545392136482965,1.0526365329734526,1.0731054392219168,1.0648972087406507
6230,6230,1.549363613128662,1.5555602312088013,1.6034210920333862,0.7731806635856628,1.5493643283843994,1.5493638515472412,1.0488113669134425,1.08533814562213,1.0883570059210699,1.0344886272618785,1.0813396541754017,1.0807436246276323
