,index,no_t_alpha,t1_alpha,t2_alpha,t3_alpha,t4_alpha,t5_alpha,no_t_ds,t1_ds,t2_ds,t3_ds,t4_ds,t5_ds
16,16,-3.5760159492492676,-1.0291297435760498,-0.21761566400527954,0.8782540559768677,-3.4805450439453125,-3.4979121685028076,1.2010583699713069,1.2052778832460007,1.1795754713978464,1.0230884604160462,1.207396623849941,1.2008792019326682
17,17,-3.53265118598938,-0.7444764971733093,-0.07051803171634674,0.6585168838500977,-3.4576575756073,-3.446784019470215,1.1482494128863148,1.1565138927357934,1.1078545453683921,0.9922052169027245,1.1516531070045346,1.1582887175569674
18,18,-3.6205971240997314,-0.9735150933265686,-0.32335376739501953,0.6540706753730774,-3.612680673599243,-3.627964735031128,1.227307558174926,1.2244642216875765,1.2212732212961654,1.0228264564129033,1.2293176708810671,1.2246050922242195
19,19,-3.7586636543273926,-0.8715547323226929,-0.26736414432525635,0.5553132891654968,-3.677849531173706,-3.6584041118621826,1.1810353701984988,1.179955211940272,1.1634193143995992,0.9972074034119649,1.1929433800581168,1.1894864980622855
20,20,-3.6866934299468994,-0.9434022903442383,-0.38748589158058167,0.8317521214485168,-3.6902997493743896,-3.6453049182891846,1.2342260337301099,1.2306767621717538,1.2327694985413704,1.0086439674746563,1.2319081684793665,1.2284142263244315
21,21,-3.5040700435638428,-0.7946088910102844,-0.11666952818632126,0.8985310792922974,-3.4657039642333984,-3.4723989963531494,1.1517547071368184,1.164598556947803,1.1145676513339318,1.0136623666313258,1.1628421064723276,1.1670829640455507
22,22,-3.5597760677337646,-0.7488006949424744,-0.09129368513822556,0.8071460723876953,-3.6641149520874023,-3.609212875366211,1.124931969059407,1.1297608162533475,1.0912459846403337,1.0017464351048588,1.1351189202738319,1.1252460209164485
23,23,-3.8876750469207764,-0.7143305540084839,-0.1051536574959755,0.6721208691596985,-3.7960801124572754,-3.7977843284606934,1.1805991810682244,1.1824780785511797,1.150441983794195,0.9956636893827198,1.1799316110671947,1.1775275600021917
24,24,-3.570112466812134,-0.6517001390457153,-0.07902447879314423,0.9710438251495361,-3.6285173892974854,-3.554748058319092,1.120588458225429,1.1228122606055218,1.0919643705262743,1.1581242942498593,1.1224098349496432,1.1292589268692816
25,25,-3.458376169204712,-0.8087092041969299,-0.14405952394008636,0.8042116165161133,-3.45361328125,-3.4527809619903564,1.1681618982771411,1.1712140336044399,1.1280483347719494,1.0130663290555995,1.1738416033868253,1.177541389728279
26,26,-3.474034309387207,-0.7881338596343994,-0.12433939427137375,0.7581286430358887,-3.400516986846924,-3.406245708465576,1.1498165187574374,1.1487701780277495,1.1134926885772298,0.9955709680721594,1.1560292587088077,1.166690181773965
27,27,-3.572498321533203,-0.7634237408638,-0.22542081773281097,0.9116460084915161,-3.472701072692871,-3.486707925796509,1.199026272292518,1.2022300437273095,1.1836423563458256,1.0073852120122673,1.196441996074719,1.200818360759259
28,28,-3.6568753719329834,-1.0354233980178833,-0.3162505030632019,0.4936036765575409,-3.626453161239624,-3.6638126373291016,1.2288201882948195,1.2308707289634826,1.2204426177116796,1.0158683232521253,1.2268229528713344,1.2269379270791034
29,29,-3.3893613815307617,-0.8725523352622986,-0.19056695699691772,0.6473478674888611,-3.370076894760132,-3.3632991313934326,1.1929043768533674,1.1956416120207733,1.1630995327612137,1.0220556725756273,1.1942327761131257,1.1988636518717746
30,30,-3.5176000595092773,-0.9010040163993835,-0.19885946810245514,0.8002895712852478,-3.487299680709839,-3.476410150527954,1.1669967249905229,1.1756544740147472,1.146223069652614,1.0497568979362646,1.174914484639494,1.183479992401295
31,31,-3.587737798690796,-0.7778985500335693,-0.11911266297101974,0.8451237678527832,-3.612210273742676,-3.651707172393799,1.1636946825100656,1.1622290189251234,1.1251864318460796,0.9931753999112038,1.173621529072024,1.1687832302762837
32,32,-3.768754720687866,-0.9580582976341248,-0.3658614456653595,0.5830206871032715,-3.786099672317505,-3.743239402770996,1.2411039628652756,1.242708626186921,1.2343663499102202,1.0171419926599687,1.2401379578099319,1.242035387023639
33,33,-3.576918363571167,-0.9839273691177368,-0.2678707242012024,0.7913427352905273,-3.4958655834198,-3.502436876296997,1.1931441733415638,1.1981298440521553,1.1703263927681846,1.017399426414738,1.1956563517200711,1.188867039348475
34,34,-3.523416519165039,-0.9839010238647461,-0.20312097668647766,0.791634202003479,-3.4295096397399902,-3.445211887359619,1.1767234678882568,1.1803530466679173,1.142534478500619,1.0492405744755957,1.1852591989562238,1.1861297280727012
35,35,-3.6197011470794678,-0.942201554775238,-0.4044448137283325,0.8045300245285034,-3.6316938400268555,-3.6571497917175293,1.239073980350069,1.2444639836461886,1.2483850227467246,1.0442766978533193,1.246432348419263,1.242986554530661
36,36,-3.439270257949829,-1.030016541481018,-0.34061476588249207,0.741571307182312,-3.486116647720337,-3.484126567840576,1.1876357591214473,1.1888613417382918,1.1592231718026769,1.0235741599543897,1.1897648287679274,1.1993702077821082
37,37,-3.480006694793701,-0.992580235004425,-0.1349879652261734,0.9678728580474854,-3.4718103408813477,-3.4712657928466797,1.1612760117691336,1.1636617540717866,1.114168004209227,1.0598632776538595,1.1591622589620556,1.1705444816714266
38,38,-3.5668537616729736,-0.8616502285003662,-0.2556867003440857,0.7975428700447083,-3.4818809032440186,-3.487844467163086,1.2039428102294862,1.2107643384191824,1.192645156350566,1.0233579834340703,1.208848311925249,1.209940277469643
